155;NULL;VISITA ALL'IMMAGINARIO SCIENTIFICO
156;NULL;Corso Vela
157;NULL;Assicurazione School Travel Assistance con Annullamento
158;NULL;Museo della Carta Fabriano
159;NULL;ingresso Dachau
160;NULL;Torino + Piemonte Card Junior (3 giorni)
161;NULL;MUSEO DELLA SCIENZA E DELLA TECNICA
162;NULL;VISITA CON GUIDA
163;NULL;radio guide
164;NULL;Planetario e Osservatorio Astronomico
165;NULL;INGRESSO TEATRO
166;NULL;biglietto circumvesuviana
167;NULL;Supplemento diete speciali
168;NULL;Bagaglio
169;NULL;NOTA BENE
170;NULL;scuola sci Spiazzi di Gromo
171;NULL;skipass
172;NULL;FUNICOLARE BERGAMO ALTA
173;NULL;MERENDA REALE
174;NULL;Adige Rafting
175;NULL;DEPOSITO BAGAGLI
176;NULL;PARCO GESSI
177;NULL;CHOCO STORY
178;NULL;SPAZIO COPERTO PER PRANZO A SACCO
179;NULL;Leader accompagnatore
180;NULL;cascate delle marmore
181;NULL;NOLEGGIO ATTREZZATURA SCI
182;NULL;ciaspolata
183;NULL;noleggio pattini su ghiaccio
184;NULL;Cena in ristorante
185;NULL;ACQUARIO DI GENOVA
186;NULL;Caccia al tesoro - scopri la città
187;NULL;Pranzo in pizzeria
188;NULL;Laboratorio di apprendimento
189;NULL;Cauzione
190;NULL;Vittoriale Gardone Riviera (BS)
191;NULL;Grotte di Catullo Sirmione (BS)
192;NULL;JUVENTUS STADIUM
193;NULL;Pranzo in ristorante
194;NULL;Pranzo in ristorante
195;NULL;Pranzo in ristorante
196;NULL;Funicolare Castel San Pietro
197;NULL;"LABORATORIO OSSERVATORIO ""ROSETTA A CACCIA DI UNA COMETA"""
198;NULL;PRANZO IN RISTORANTE K2
199;NULL;MUSEO DEL GIOIELLO VICENZA LABORATORIO
200;NULL;PIZZERIA RISTORANTE X GIUGNO A VICENZA
201;NULL;PASSEGGIATA SULLA BIODIVERSITA' E LABORATORI CON LE ERBE E BURRIFICAZIONE
202;NULL;PASSEGGIATA NATURALISTICA SUL CARSISMO E LE GEOLOGIA DEL TERRITORIO
203;NULL;Noleggio audioguide
204;NULL;Ingresso Spanische Hofreitschule
205;NULL;Movieland
206;NULL;Belvedere Palazzo Lombardia
207;NULL;Zipline - Arcansel
208;NULL;Escursione con ciaspole
209;NULL;Motoslitta
210;NULL;Escursione fluviale
211;NULL;MUSEO AUTO TORINO
212;NULL;Esperienza realtà virtuale
213;NULL;Educatore notturno
214;NULL;Trasporto pubblico
215;NULL;Leader supplementare
216;NULL;Disco Tropics
217;NULL;St. Trop'
218;NULL;Sassy Social Club
219;NULL;Pachá Barcelona
220;NULL;Escursione a Barcellona in giornata
221;NULL;Deposito bagagli - Stow your bags
222;NULL;Deposito bagagli - Kipoint
223;NULL;Ingresso Biennale di Venezia
224;NULL;Ingresso Teatro La Fenice
225;NULL;Lunch box
226;NULL;Escursione in gommone isola Tavolara e isole minori
227;NULL;Escursione in Kayak Golfo Aranci
228;NULL;Escursione combinata Vesuvio-Pompei
229;NULL;Visita Guidata Reggia di Caserta
230;NULL;Palazzo Reale Napoli
231;NULL;Supplemento check-in
232;NULL;tassa di soggiorno
233;NULL;Escape City Box
234;NULL;Bus 55 posti
235;NULL;Pernottamento
236;NULL;Colazione
237;NULL;Cena
238;NULL;Acqua
239;NULL;Pasti
240;NULL;Bevande
241;NULL;Extra
242;NULL;Assicurazione Unipol All Inclusive
243;NULL;Visita al Parlamento Europeo
244;NULL;Crociera fluviale
245;NULL;Tour panoramico nel Delta del Po
246;NULL;PICCOLI ARTISTI DEL MOSAICO
247;NULL;Pranzo nel Delta del Po
248;NULL;Ingresso monumenti Ravenna
249;NULL;Giotto Pass Firenze
250;NULL;museo interattivo Leonardo Da Vinci
251;NULL;VISITA ALLE SALINE DI CERVIA
