4;4;multipla;a camera;36;;45.00;2023-01-14 14:39:03;2023-01-14 14:42:26;2023-01-14 14:42:26
5;5;multipla;a camera;36;;45.00;2023-01-14 14:42:26;2023-01-14 14:54:18;2023-01-14 14:54:18
6;6;multipla;a camera;36;;45.00;2023-01-14 14:54:18;2023-01-14 14:55:10;2023-01-14 14:55:10
7;7;multipla;a camera;36;;45.00;2023-01-14 14:55:10;2023-01-14 14:55:29;2023-01-14 14:55:29
8;8;multipla;a camera;36;;45.00;2023-01-14 14:55:29;2023-01-14 22:09:44;2023-01-14 22:09:44
9;9;multipla;a camera;36;;45.00;2023-01-14 22:09:44;2023-01-14 22:11:19;2023-01-14 22:11:19
10;10;multipla;a camera;36;;45.00;2023-01-14 22:11:19;2023-01-14 22:15:07;2023-01-14 22:15:07
11;11;multipla;a camera;36;;45.00;2023-01-14 22:15:07;2023-01-14 22:22:01;2023-01-14 22:22:01
12;12;multipla;a camera;36;;45.00;2023-01-14 22:22:01;2023-01-14 22:22:42;2023-01-14 22:22:42
13;13;multipla;a camera;36;;45.00;2023-01-14 22:22:42;2023-01-14 22:27:11;2023-01-14 22:27:11
14;14;multipla;a camera;36;;45.00;2023-01-14 22:27:11;2023-01-14 22:29:50;2023-01-14 22:29:50
15;15;multipla;a camera;36;;45.00;2023-01-14 22:29:50;2023-01-14 22:38:12;2023-01-14 22:38:12
16;16;multipla;a camera;33;;50.00;2023-01-14 23:12:41;2023-01-15 23:50:29;2023-01-15 23:50:29
17;19;multipla;a camera;33;;50.00;2023-01-15 23:30:34;2023-01-15 23:50:29;2023-01-15 23:50:29
18;22;multipla;a camera;33;;50.00;2023-01-15 23:33:28;2023-01-15 23:50:29;2023-01-15 23:50:29
19;25;multipla;a camera;33;;50.00;2023-01-15 23:33:28;2023-01-15 23:50:29;2023-01-15 23:50:29
20;28;multipla;a camera;33;;50.00;2023-01-15 23:35:58;2023-01-15 23:36:13;2023-01-15 23:36:13
21;31;multipla;a camera;33;;50.00;2023-01-15 23:35:58;2023-01-15 23:36:13;2023-01-15 23:36:13
22;34;multipla;a camera;33;;50.00;2023-01-15 23:35:58;2023-01-15 23:36:13;2023-01-15 23:36:13
23;37;multipla;a camera;33;;50.00;2023-01-15 23:35:58;2023-01-15 23:36:13;2023-01-15 23:36:13
24;40;multipla;a camera;33;;50.00;2023-01-15 23:49:57;2023-01-15 23:50:03;2023-01-15 23:50:03
25;43;multipla;a camera;33;;50.00;2023-01-15 23:49:57;2023-01-15 23:50:03;2023-01-15 23:50:03
26;46;multipla;a camera;33;;50.00;2023-01-15 23:49:58;2023-01-15 23:50:03;2023-01-15 23:50:03
27;49;multipla;a camera;33;;50.00;2023-01-15 23:49:58;2023-01-15 23:50:03;2023-01-15 23:50:03
28;52;multipla;a camera;33;;50.00;2023-01-15 23:50:29;2023-01-15 23:50:54;2023-01-15 23:50:54
29;53;multipla;a camera;33;;50.00;2023-01-15 23:50:54;2023-01-18 15:17:11;2023-01-18 15:17:11
30;54;multipla;a camera;40;;50.00;2023-01-16 20:34:10;2023-01-17 00:11:45;2023-01-17 00:11:45
31;55;multipla;a camera;40;;50.00;2023-01-17 00:11:45;2023-01-26 17:08:15;2023-01-26 17:08:15
32;58;singola;a camera;2;;80.00;2023-01-17 21:41:54;2023-01-17 21:42:58;2023-01-17 21:42:58
33;59;singola;a camera;2;;80.00;2023-01-17 21:42:58;2023-01-26 17:08:21;2023-01-26 17:08:21
34;60;multipla;a camera;33;;50.00;2023-01-18 15:17:11;2023-01-26 17:08:08;2023-01-26 17:08:08
35;63;multipla;a camera;5;;56.00;2023-01-22 15:32:02;2023-01-26 17:08:33;2023-01-26 17:08:33
36;64;multipla;a camera;32;;50.00;2023-01-22 17:13:39;2023-01-22 17:23:28;2023-01-22 17:23:28
37;65;multipla;a camera;32;;50.00;2023-01-22 17:23:28;2023-01-22 18:13:47;2023-01-22 18:13:47
38;66;multipla;a camera;32;;50.00;2023-01-22 18:13:47;2023-01-26 17:08:37;2023-01-26 17:08:37
39;67;multipla;a camera;32;;50.00;2023-01-22 21:45:50;2023-01-22 22:04:46;2023-01-22 22:04:46
40;67;singola;a camera;2;;30.00;2023-01-22 21:45:50;2023-01-22 22:04:46;2023-01-22 22:04:46
41;68;multipla;a camera;32;;50.00;2023-01-22 22:04:46;2023-01-22 22:07:02;2023-01-22 22:07:02
42;68;singola;a camera;2;;30.00;2023-01-22 22:04:46;2023-01-22 22:07:02;2023-01-22 22:07:02
43;69;multipla;a camera;32;;50.00;2023-01-22 22:07:02;2023-01-22 22:21:35;2023-01-22 22:21:35
44;69;singola;a camera;2;;30.00;2023-01-22 22:07:02;2023-01-22 22:21:35;2023-01-22 22:21:35
45;70;multipla;a camera;32;;50.00;2023-01-22 22:21:35;2023-01-22 22:33:48;2023-01-22 22:33:48
46;70;singola;a camera;2;;30.00;2023-01-22 22:21:35;2023-01-22 22:33:48;2023-01-22 22:33:48
47;71;multipla;a camera;32;;50.00;2023-01-22 22:33:48;2023-01-22 23:06:25;2023-01-22 23:06:25
48;71;singola;a camera;2;;30.00;2023-01-22 22:33:48;2023-01-22 23:06:25;2023-01-22 23:06:25
49;72;multipla;a camera;32;;50.00;2023-01-22 23:06:25;2023-01-22 23:08:34;2023-01-22 23:08:34
50;72;singola;a camera;2;;30.00;2023-01-22 23:06:25;2023-01-22 23:08:34;2023-01-22 23:08:34
51;73;multipla;a camera;32;;50.00;2023-01-22 23:08:35;2023-01-22 23:11:17;2023-01-22 23:11:17
52;73;singola;a camera;2;;30.00;2023-01-22 23:08:35;2023-01-22 23:11:17;2023-01-22 23:11:17
53;74;multipla;a camera;32;;50.00;2023-01-22 23:11:18;2023-01-22 23:11:18;2023-01-22 23:11:18
54;74;singola;a camera;2;;30.00;2023-01-22 23:11:18;2023-01-22 23:11:18;2023-01-22 23:11:18
55;75;multipla;a camera;32;;50.00;2023-01-22 23:11:19;2023-01-22 23:11:20;2023-01-22 23:11:20
56;75;singola;a camera;2;;30.00;2023-01-22 23:11:19;2023-01-22 23:11:20;2023-01-22 23:11:20
57;76;multipla;a camera;32;;50.00;2023-01-22 23:11:21;2023-01-22 23:11:22;2023-01-22 23:11:22
58;76;singola;a camera;2;;30.00;2023-01-22 23:11:21;2023-01-22 23:11:22;2023-01-22 23:11:22
59;77;multipla;a camera;32;;50.00;2023-01-22 23:11:22;2023-01-22 23:15:05;2023-01-22 23:15:05
60;77;singola;a camera;2;;30.00;2023-01-22 23:11:22;2023-01-22 23:15:05;2023-01-22 23:15:05
61;78;multipla;a camera;32;;50.00;2023-01-22 23:15:05;2023-01-22 23:17:59;2023-01-22 23:17:59
62;78;singola;a camera;2;;30.00;2023-01-22 23:15:05;2023-01-22 23:17:59;2023-01-22 23:17:59
63;79;multipla;a camera;32;;50.00;2023-01-22 23:18:00;2023-01-22 23:22:23;2023-01-22 23:22:23
64;79;singola;a camera;2;;30.00;2023-01-22 23:18:00;2023-01-22 23:22:23;2023-01-22 23:22:23
