4;15;2;;andata;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:39:28;2023-01-17 21:41:54;2023-01-17 21:41:54
5;15;2;;rientro;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:39:28;2023-01-17 21:41:54;2023-01-17 21:41:54
6;15;2;;andata;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:41:54;2023-01-17 21:42:58;2023-01-17 21:42:58
7;15;2;;rientro;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:41:54;2023-01-17 21:42:58;2023-01-17 21:42:58
8;15;2;;andata;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:42:58;2023-01-26 17:08:21;2023-01-26 17:08:21
9;15;2;;rientro;;una tantum;150.00;0;;;;;;;NULL;2023-01-17 21:42:58;2023-01-26 17:08:21;2023-01-26 17:08:21
10;29;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 14:45:36;2023-01-30 18:06:31;2023-01-30 18:06:31
11;29;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 14:45:36;2023-01-30 18:06:31;2023-01-30 18:06:31
12;30;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 14:45:37;2023-01-26 17:09:55;2023-01-26 17:09:55
13;30;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 14:45:37;2023-01-26 17:09:55;2023-01-26 17:09:55
14;30;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 17:09:55;2023-01-26 17:10:32;2023-01-26 17:10:32
15;30;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 17:09:56;2023-01-26 17:10:32;2023-01-26 17:10:32
16;30;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 17:10:32;2023-01-29 01:01:52;2023-01-29 01:01:52
17;30;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-26 17:10:32;2023-01-29 01:01:52;2023-01-29 01:01:52
18;30;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-29 01:01:52;2023-02-02 16:27:44;2023-02-02 16:27:44
19;30;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-29 01:01:52;2023-02-02 16:27:44;2023-02-02 16:27:44
20;29;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-30 18:06:32;2023-01-30 18:07:30;2023-01-30 18:07:30
21;29;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-30 18:06:32;2023-01-30 18:07:30;2023-01-30 18:07:30
22;29;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-01-30 18:07:30;2023-02-05 11:38:05;2023-02-05 11:38:05
23;29;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-01-30 18:07:30;2023-02-05 11:38:05;2023-02-05 11:38:05
24;30;1;;andata;;una tantum;1500.00;0;;;;;;;NULL;2023-02-02 16:27:44;2023-02-05 11:38:05;2023-02-05 11:38:05
25;30;1;;rientro;;una tantum;1500.00;0;;;;;;;NULL;2023-02-02 16:27:44;2023-02-05 11:38:06;2023-02-05 11:38:06
26;36;6;;andata;;una tantum;416.00;0;;;;;;;NULL;2023-02-04 18:56:31;2023-02-04 19:04:24;2023-02-04 19:04:24
27;36;6;;rientro;;una tantum;553.00;0;;;;;;;NULL;2023-02-04 18:56:31;2023-02-04 19:04:24;2023-02-04 19:04:24
28;36;6;;andata;;una tantum;416.00;0;;;;;;;NULL;2023-02-04 19:04:24;2023-02-04 19:06:19;2023-02-04 19:06:19
29;36;6;;rientro;;una tantum;526.90;0;;;;;;;NULL;2023-02-04 19:04:24;2023-02-04 19:06:19;2023-02-04 19:06:19
